new_sampleid	Bam_Id	Depth	Chimeric_Reads_NGScheck	Chimeric_Reads_flagstat	Mean_TLEN	Q30	FREEMIX	Yield	Yield_QC	sa.qc.callRate	sa.qc.dpMean	sa.qc.dpStDev	sa.qc.gqStDev	sa.hetStats.stdev	sa.qc.rHetHomVar	sa.qc.rTiTv	sa.qc.nSingleton	sa.qc.nSNP	sa.qc.nInsertion	sa.qc.nDeletion	sa.imputesex.Fstat	call_rate	f_stat	passes_qc0	passes_qc1	passes_qc2
00741e84-d5ca-4d90-9b67-328e808705ae	68f11019-c2b3-4cfa-9c10-09ff1974591f	35.2	0.0258	0.0145	305	85.16	0.00016	127.6	108.31	0.998264840183	37.1914737901	10.9273523801	13.1468599862	0.45354056104	1.45501387237	3.96805476326	1	8709	8	0	0.0928899920534	0.95793	0.097159	TRUE	FALSE	TRUE
00b14c77-845c-432e-923c-c2c412f5df31	132109b3-6894-447c-977d-8a01a3e32ac9	32.1	0.0171	0.0117	437	89.06	0.00055	110.41	98.89	0.999360730594	32.9023119803	9.90255257596	14.5114341144	0.473285331916	1.26129032258	4.09921524664	4	9097	3	0	0.206375986338	0.95837	0.20475	TRUE	FALSE	FALSE
01c6cd53-9006-407f-b726-305525e1f8b8	8c620f4b-9123-4720-89f1-6eed67611b87	32.5	0.0821	0.0362	328	90.81	0.00025	137.03	100.25	0.998630136986	35.1860996799	10.9202801364	16.2906278124	0.476245547977	1.53213262382	4.0963356974	0	8623	8	0	-0.041330902775	0.95713	-0.038838	TRUE	FALSE	TRUE
023a320c-3e86-4e5e-b006-08ce47ba29de	0ea0b094-d55e-4172-9755-f05d43e3be7b	47.1	0.0195	0.0122	462	85.42	0.00095	175.78	146.16	0.999452054795	49.2060489766	13.7457940123	7.51257053506	0.454480676059	1.41620771046	3.95885714286	0	8678	6	1	0.995190157493	0.99585	0.99048	TRUE	FALSE	TRUE
032c0f9a-baa7-4654-b76e-d86532718498	NA	0	NA	1	300	NA	1	NA	NA	0.997808219178	28.489749222	13.2664175878	17.0383722306	0.58856482477	1.25393917186	4.01924165252	0	8869	7	6	0.990380314986	0.99469	0.98808	FALSE	FALSE	FALSE
0366d84c-b4cc-4fc2-b51d-e848ec23fd5a	70c746a4-39be-42e4-a8ff-002cd1c155e4	37.8	0.0204	0.013	415	80.82	0.00161	141.27	117.32	0.998630136986	38.4357567444	12.5871761013	10.6987385083	0.415858266749	1.5539452496	4.02964652223	0	8822	7	2	0.0548659473658	0.95764	0.047607	TRUE	FALSE	TRUE
0375a7c5-2692-41c2-977b-73679df4779e	51e61855-ea43-4790-83f7-247123030ed3	38.9	0.1125	0.0512	385	80.96	0.00022	150.13	120.18	0.998812785388	42.4875194295	9.53842173059	10.3328727835	0.477135407892	1.53495805034	3.88778330569	0	8842	5	1	0.992781617974	0.99672	0.99285	TRUE	TRUE	FALSE
03c623e2-04d7-43ea-ade1-5f5a619cd5c8	7629a8ad-7fc6-4726-aeb7-605b7cc08a9b	36	0.0186	0.0096	468	89.36	3e-04	120.62	110.9	0.998173515982	35.9652333028	10.4583992198	12.8711361902	0.421860048037	1.49633848657	3.87897727273	0	8587	4	3	-0.0052570839722	0.9583	-0.0023938	TRUE	FALSE	TRUE
03da0b73-b5f6-4779-bfd3-cb6b23178e15	8367e24c-07ec-413a-bb91-1823787ea1b7	39.7	0.0243	0.0192	284	89.36	0.00022	134.85	122.27	0.998356164384	41.7467069155	11.5956530057	11.2678833315	0.397328112503	1.35744680851	3.99884726225	0	8673	6	0	0.0404364198447	0.95721	0.045226	TRUE	FALSE	TRUE
03fe1df5-ec6a-40e7-b609-a749b1aafad9	970b0c9e-5216-4959-bb73-d6734696ff5a	36	0.0197	0.0086	406	89.84	0.00036	121.52	110.74	0.99899543379	38.015997806	10.2334225124	10.919909819	0.436137750104	1.53999171156	4.05983412322	0	8541	4	0	0.107774214943	0.9583	0.10929	TRUE	FALSE	TRUE
040eb7c2-50a0-4576-a073-e1782038495e	50a60717-6441-4761-bb0e-5109723b0f8f	44.3	0.0129	0.0099	238	94.36	0.00012	152.93	136.34	0.999634703196	46.7830257628	11.0566605689	6.5348441284	0.421380047986	1.52515592516	4.02015411974	1	8469	6	3	0.0620807111264	0.95888	0.068808	TRUE	FALSE	TRUE
